run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[3].wlan[0].mac,sentDownPk:count,source,packetSentToLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[3].wlan[0].mac,sentDownPk:count,title,"packets sent to lower layer, count",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[3].wlan[0].mac,sentDownPk:sum(packetBytes),,,46555,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[3].wlan[0].mac,sentDownPk:sum(packetBytes),interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[3].wlan[0].mac,sentDownPk:sum(packetBytes),source,packetSentToLower,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[3].wlan[0].mac,sentDownPk:sum(packetBytes),title,"packets sent to lower layer, sum(packetBytes)",,,,,,,,,
General-0-20220829-17:02:36-12114,scalar,CanvasWorld.node[3].wlan[0].mac,rcvdPkFromHL:count,,,185,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[3].wlan[0].mac,rcvdPkFromHL:count,interpolationmode,none,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[3].wlan[0].mac,rcvdPkFromHL:count,source,packetReceivedFromUpper,,,,,,,,,
General-0-20220829-17:02:36-12114,attr,CanvasWorld.node[3].wlan[0].mac,rcvdPkFromHL:count,title,"packets received from higher layer, count",,,,,,,,,
